OBJECTID,FeatureID,Name,DevType,Acres,SchoolES,SchoolMS,SchoolHS,YearBuilt,Gated,Private,TotalPop2015,TotalPop2015_MaritalStatus,TotalPop2015_NeverMarried,TotalPop2015_Married,TotalPop2015_Divorced,TotalPop2015_NeverMarried_PerOf,TotalPop2015_Married_PerOfTotal,TotalPop2015_Divorced_PerOfTota,TotalPop2015_NeverMarried_Per_1,TotalPop2015_Married_PerOfTot_1,TotalPop2015_Divorced_PerOfTo_1,TotalPop2015_PerOfTotalCity,Score_NeverMarriedPercentOfCity,Score_MarriedPercentOfCity,Score_DivorcedPercentOfCity,Shape_Length,Shape_Area
1,SA100494,Abberly Towneship,Townhomes,38.527943,Ocee Elementary School,Taylor Road Middle School,Chattahoochee High School,,Yes,Yes,1268,989,311,594,84,31.4459,60.0606,8.4934,0.619917,1.184021,0.167437,1.9017,2 - Average,2 - Average,1 - Low,5711.954513,1672304.390679
2,SA100476,Abbotts Bridge Place,Townhomes,40.911717,Wilson Creek Elementary School,River Trail Middle School,Northview High School,2007,Yes,Yes,398,306,64,210,32,20.915,68.6274,10.4575,0.127571,0.418593,0.063785,0.5969,1 - Low,1 - Low,1 - Low,6565.555033,1782051.457365
3,SA100519,Abbotts Falls,Townhomes,3.487876,Wilson Creek Elementary School,River Trail Middle School,Northview High School,,No,Yes,56,41,9,29,3,21.9512,70.7317,7.317,0.017939,0.057805,0.005979,0.0839,1 - Low,1 - Low,1 - Low,1547.697142,151931.872795
4,SA100496,Abbotts Mill,Townhomes,13.97787,Wilson Creek Elementary School,River Trail Middle School,Northview High School,,No,Yes,418,342,74,244,24,21.6374,71.345,7.0175,0.147504,0.486365,0.047839,0.6269,1 - Low,1 - Low,1 - Low,3806.206539,608860.529979
5,SA100418,Abbotts Pond,Subdivision,60.064373,Abbotts Hill Elementary School,Taylor Road Middle School,Chattahoochee High School,,No,No,114,88,31,51,6,35.2272,57.9545,6.8181,0.061792,0.101658,0.011959,0.1709,1 - Low,1 - Low,1 - Low,8530.742009,2616362.732628
6,SA100282,Abbotts Run,Subdivision,49.083515,Wilson Creek Elementary School,River Trail Middle School,Northview High School,,No,No,315,235,51,166,18,21.7021,70.6382,7.6595,0.101658,0.330888,0.035879,0.4724,1 - Low,1 - Low,1 - Low,7864.337316,2138046.972361
7,SA100302,Abbotts Station,Subdivision,21.287279,Wilson Creek Elementary School,River Trail Middle School,Northview High School,,No,No,88,62,13,43,6,20.9677,69.3548,9.6774,0.025912,0.085712,0.011959,0.1319,1 - Low,1 - Low,1 - Low,4560.916622,927241.525622
8,SA100419,Abbotts View,Subdivision,9.419481,Wilson Creek Elementary School,River Trail Middle School,Northview High School,,No,No,48,37,8,26,3,21.6216,70.2702,8.1081,0.015946,0.051825,0.005979,0.0719,1 - Low,1 - Low,1 - Low,3435.904637,410191.9593
9,SA100303,Abbotts Walk,Subdivision,25.817974,Wilson Creek Elementary School,River Trail Middle School,Northview High School,2001,No,No,198,147,32,104,11,21.7687,70.7482,7.4829,0.063785,0.207303,0.021926,0.2969,1 - Low,1 - Low,1 - Low,6315.850375,1124713.249159
10,SA100491,Addison Place,Apartments,49.411088,Abbotts Hill Elementary School,Taylor Road Middle School,Chattahoochee High School,,Yes,Yes,2121,1550,466,914,170,30.0645,58.9677,10.9677,0.928878,1.821878,0.338861,3.181,3 - High,2 - Average,2 - Average,6995.605473,2152346.646425
11,SA100463,Duck Pond,Apartments,18.615051,Ocee Elementary School,Taylor Road Middle School,Chattahoochee High School,,Yes,Yes,802,641,138,468,35,21.5288,73.0109,5.4602,0.275075,0.932865,0.069765,1.2028,2 - Average,2 - Average,1 - Low,3653.238679,810871.638781
12,SA100414,Amberleigh,Subdivision,69.637079,Shakerag Elementary School,River Trail Middle School,Northview High School,,No,No,388,293,69,211,13,23.5494,72.0136,4.4368,0.137537,0.420586,0.025912,0.5819,1 - Low,1 - Low,1 - Low,9553.972775,3033394.948817
13,SA100479,Ammersee,Subdivision,91.983086,Medlock Bridge Elementary School,Autrey Mill Middle School,Johns Creek High School,2000,Yes,Yes,103,77,6,71,0,7.7922,92.2077,0,0.011959,0.141524,0,0.1544,1 - Low,1 - Low,(no data),9464.109719,4006734.529862
14,SA100497,Andover,Subdivision,5.109501,Abbotts Hill Elementary School,Taylor Road Middle School,Chattahoochee High School,,No,Yes,3,2,1,1,0,50,50,0,0.001993,0.001993,0,0.0044,1 - Low,1 - Low,(no data),2090.50333,222575.908075
15,SA100450,Ashland,Subdivision,26.64943,Abbotts Hill Elementary School,Taylor Road Middle School,Chattahoochee High School,,No,No,399,278,57,193,28,20.5035,69.4244,10.0719,0.113618,0.384707,0.055812,0.5984,1 - Low,1 - Low,1 - Low,5445.90219,1160874.729626
16,SA100410,Aviary,Subdivision,67.865422,State Bridge Crossing Elementary School,Taylor Road Middle School,Chattahoochee High School,,No,No,1175,917,288,551,78,31.4067,60.0872,8.5059,0.574071,1.098309,0.155477,1.7622,2 - Average,2 - Average,1 - Low,6937.178281,2956217.779657
17,SA100487,Aylesbury Farms,Apartments,34.253482,Wilson Creek Elementary School,River Trail Middle School,Northview High School,,Yes,Yes,469,360,75,247,38,20.8333,68.6111,10.5555,0.149497,0.492345,0.075745,0.7033,1 - Low,1 - Low,1 - Low,5529.653986,1492065.342989
18,SA100307,Beckton Hall,Subdivision,12.122186,State Bridge Crossing Elementary School,Taylor Road Middle School,Chattahoochee High School,,No,No,41,32,10,19,3,31.25,59.375,9.375,0.019933,0.037872,0.005979,0.0614,1 - Low,1 - Low,1 - Low,3390.252338,527951.836914
19,SA100308,Bellacree,Subdivision,35.556183,Shakerag Elementary School,River Trail Middle School,Northview High School,,No,No,55,37,10,26,1,27.027,70.2702,2.7027,0.019933,0.051825,0.001993,0.0824,1 - Low,1 - Low,1 - Low,5014.452534,1548634.984606
20,SA100309,Bellemont Farms,Subdivision,38.599037,Shakerag Elementary School,River Trail Middle School,Northview High School,1993,No,No,601,416,115,289,12,27.6442,69.4711,2.8846,0.229229,0.576064,0.023919,0.9013,1 - Low,1 - Low,1 - Low,6428.39254,1670238.550783
21,SA100311,Bridgestone,Subdivision,41.638406,Ocee Elementary School,Taylor Road Middle School,Chattahoochee High School,,No,No,159,127,27,93,7,21.2598,73.2283,5.5118,0.053819,0.185377,0.013953,0.2384,1 - Low,1 - Low,1 - Low,6273.578864,1813646.602366
22,SA100312,Bridgewater,Subdivision,34.089517,Barnwell Elementary School,Haynes Bridge Middle School,Centennial High School,,No,No,138,98,18,71,9,18.3673,72.4489,9.1836,0.035879,0.141524,0.017939,0.2069,1 - Low,1 - Low,1 - Low,5132.146937,1484939.335864
23,SA100489,Brookhaven,Mixed,49.392898,Shakerag Elementary School,River Trail Middle School,Northview High School,,Yes,Yes,89,67,16,48,3,23.8805,71.6417,4.4776,0.031892,0.095678,0.005979,0.1334,1 - Low,1 - Low,1 - Low,6947.582776,2161717.534496
24,SA100313,Brookhollow,Subdivision,39.263725,Ocee Elementary School,Taylor Road Middle School,Chattahoochee High School,,No,No,230,163,52,97,14,31.9018,59.5092,8.5889,0.103651,0.19335,0.027906,0.3449,1 - Low,1 - Low,1 - Low,6303.730576,1710280.258391
25,SA100421,Cambridge,Subdivision,169.597792,Findley Oaks Elementary School,Taylor Road Middle School,Chattahoochee High School,,No,No,828,569,110,447,12,19.3321,78.5588,2.1089,0.219263,0.891006,0.023919,1.2418,1 - Low,2 - Average,1 - Low,13573.346333,7387505.888228
26,SA100297,Camden River,Apartments,45.528874,Medlock Bridge Elementary School,Autrey Mill Middle School,Johns Creek High School,,Yes,Yes,2229,1824,395,1300,129,21.6557,71.2719,7.0723,0.787354,2.591293,0.257136,3.3429,2 - Average,3 - High,2 - Average,7967.988084,1823842.902184
27,SA100379,Cameron Crest Farms,Subdivision,358.575746,Dolvin Elementary School,Autrey Mill Middle School,Johns Creek High School,,No,No,203,163,35,119,9,21.4723,73.0061,5.5214,0.069765,0.237202,0.017939,0.3044,1 - Low,1 - Low,1 - Low,18217.387863,15625542.952813
28,SA100380,Cameron Forest,Subdivision,169.180468,State Bridge Crossing Elementary School,Taylor Road Middle School,Chattahoochee High School,2005,No,No,476,361,119,217,25,32.9639,60.1108,6.9252,0.237202,0.432546,0.049832,0.7138,1 - Low,1 - Low,1 - Low,18158.685375,7369388.0217
29,SA100499,Carriage Homes at River Farm,Mixed,31.075684,State Bridge Crossing Elementary School,Autrey Mill Middle School,Johns Creek High School,,No,Yes,274,209,51,146,12,24.4019,69.8564,5.7416,0.101658,0.291022,0.023919,0.4109,1 - Low,1 - Low,1 - Low,5249.662255,1353653.738776
30,SA100381,Carriage Park,Subdivision,34.595323,Findley Oaks Elementary School,River Trail Middle School,Northview High School,,No,No,228,159,33,110,16,20.7547,69.1823,10.0628,0.065778,0.219263,0.031892,0.3419,1 - Low,1 - Low,1 - Low,5326.119913,1506907.939918
31,SA100265,Chartwell,Subdivision,123.090859,Hillside Elementary School,Haynes Bridge Middle School,Centennial High School,2000,No,No,980,737,152,503,82,20.6241,68.2496,11.1261,0.302981,1.002631,0.16345,1.4697,2 - Average,2 - Average,1 - Low,10445.576082,5361823.613869
32,SA100493,Chelsea Ridge Apartments,Apartments,35.576087,Medlock Bridge Elementary School,Autrey Mill Middle School,Johns Creek High School,,Yes,Yes,251,189,28,142,19,14.8148,75.1322,10.0529,0.055812,0.283048,0.037872,0.3764,1 - Low,1 - Low,1 - Low,6247.483567,1549694.433027
33,SA100425,Chessington Chase,Subdivision,11.163753,State Bridge Crossing Elementary School,Taylor Road Middle School,Chattahoochee High School,,No,No,74,54,19,32,3,35.1851,59.2592,5.5555,0.037872,0.063785,0.005979,0.1109,1 - Low,1 - Low,1 - Low,2816.975981,486234.596143
34,SA100268,Churchill Downs,Subdivision,17.172773,Ocee Elementary School,Taylor Road Middle School,Chattahoochee High School,,No,No,261,186,60,110,16,32.258,59.1397,8.6021,0.119598,0.219263,0.031892,0.3914,1 - Low,1 - Low,1 - Low,3946.994375,745176.879654
35,SA100407,Coldstream Courts,Subdivision,12.276633,State Bridge Crossing Elementary School,Autrey Mill Middle School,Johns Creek High School,,No,No,66,50,12,35,3,24,70,6,0.023919,0.069765,0.005979,0.0989,1 - Low,1 - Low,1 - Low,3342.468608,534767.986874
36,SA100446,Colony Glen,Subdivision,42.763636,Dolvin Elementary School,Autrey Mill Middle School,Johns Creek High School,,No,No,445,338,100,211,27,29.5857,62.426,7.9881,0.19933,0.420586,0.053819,0.6673,1 - Low,1 - Low,1 - Low,6996.550102,1862667.815693
37,SA100283,Concord Hall,Subdivision,62.547659,Lake Windward Elementary School,Taylor Road Middle School,Chattahoochee High School,,No,No,956,697,192,491,14,27.5466,70.4447,2.0086,0.382714,0.978711,0.027906,1.4337,2 - Average,2 - Average,1 - Low,8050.210037,2724552.659056
38,SA100480,"Country Club of the South, The",Subdivision,903.415394,Barnwell Elementary School,Autrey Mill Middle School,Johns Creek High School,,Yes,Yes,1897,1458,380,961,117,26.0631,65.9122,8.0246,0.757454,1.915563,0.233216,2.845,2 - Average,2 - Average,2 - Average,31035.315412,39345316.568893
39,SA100319,Creekside,Subdivision,28.127218,State Bridge Crossing Elementary School,Taylor Road Middle School,Chattahoochee High School,,No,No,266,193,68,116,9,35.2331,60.1036,4.6632,0.135544,0.231223,0.017939,0.3989,1 - Low,1 - Low,1 - Low,5109.62955,1225118.826386
40,SA100261,Creekside Crossing,Subdivision,90.95043,Wilson Creek Elementary School,River Trail Middle School,Northview High School,,No,No,50,38,8,26,4,21.0526,68.421,10.5263,0.015946,0.051825,0.007973,0.0749,1 - Low,1 - Low,1 - Low,9058.886951,3956229.623802
41,SA100276,Donamere,Subdivision,37.788228,State Bridge Crossing Elementary School,Taylor Road Middle School,Chattahoochee High School,,No,No,189,137,48,82,7,35.0364,59.854,5.1094,0.095678,0.16345,0.013953,0.2834,1 - Low,1 - Low,1 - Low,5314.909284,1646055.222186
42,SA100434,Doublegate,Subdivision,332.797976,State Bridge Crossing Elementary School,Autrey Mill Middle School,Johns Creek High School,1998,No,No,1408,1068,169,798,101,15.8239,74.7191,9.4569,0.336868,1.590655,0.201323,2.1116,2 - Average,2 - Average,2 - Average,21159.84703,14501719.254318
43,SA100394,Ellington,Subdivision,18.422949,Barnwell Elementary School,Autrey Mill Middle School,Johns Creek High School,,No,No,319,237,68,162,7,28.6919,68.3544,2.9535,0.135544,0.322915,0.013953,0.4784,1 - Low,1 - Low,1 - Low,3736.2088,802407.854348
44,SA100399,"Enclave at Foxdale, The",Subdivision,47.878598,Wilson Creek Elementary School,River Trail Middle School,Northview High School,,No,No,291,228,62,161,5,27.1929,70.614,2.1929,0.123584,0.320921,0.009966,0.4364,1 - Low,1 - Low,1 - Low,6118.78535,2085488.366601
45,SA100420,"Enclave at Wellington, The",Subdivision,45.260758,Findley Oaks Elementary School,Taylor Road Middle School,Chattahoochee High School,2001,No,No,320,224,46,155,23,20.5357,69.1964,10.2678,0.091691,0.308961,0.045845,0.4799,1 - Low,1 - Low,1 - Low,8040.704898,1971571.925003
46,SA100364,"Estates at Wellington, The",Subdivision,36.287304,Abbotts Hill Elementary School,Taylor Road Middle School,Chattahoochee High School,2001,No,No,111,81,24,48,9,29.6296,59.2592,11.1111,0.047839,0.095678,0.017939,0.1664,1 - Low,1 - Low,1 - Low,7178.056408,1580310.876366
47,SA100321,Evergreen Trace,Subdivision,20.569579,Northwood Elementary School,Haynes Bridge Middle School,Centennial High School,,No,No,271,202,53,116,33,26.2376,57.4257,16.3366,0.105645,0.231223,0.065778,0.4064,1 - Low,1 - Low,1 - Low,4388.595242,895920.173237
48,SA100322,Fairway Ridge,Subdivision,52.663722,Barnwell Elementary School,Haynes Bridge Middle School,Centennial High School,,No,No,1530,1282,327,602,353,25.507,46.9578,27.5351,0.651809,1.199968,0.703635,2.2946,2 - Average,2 - Average,3 - High,7133.434017,2294031.712804
49,SA100400,"Falls of Autry Mill, The",Subdivision,280.523284,Dolvin Elementary School,Autrey Mill Middle School,Johns Creek High School,2005,No,No,686,537,143,377,17,26.6294,70.2048,3.1657,0.285042,0.751475,0.033886,1.0288,2 - Average,2 - Average,1 - Low,21874.409019,12219589.351391
50,SA100269,Farmbrook,Subdivision,189.847577,State Bridge Crossing Elementary School,Autrey Mill Middle School,Johns Creek High School,,No,No,466,372,80,272,20,21.5053,73.1182,5.3763,0.159464,0.542178,0.039866,0.6988,1 - Low,1 - Low,1 - Low,21100.690832,8269608.452987
51,SA100325,Fox Creek,Subdivision,37.716935,State Bridge Crossing Elementary School,Autrey Mill Middle School,Johns Creek High School,1993,No,No,310,248,53,181,14,21.3709,72.9838,5.6451,0.105645,0.360787,0.027906,0.4649,1 - Low,1 - Low,1 - Low,5791.767568,1643290.439138
52,SA100490,"Gates at Johns Creek, The",Mixed,53.796783,Shakerag Elementary School,River Trail Middle School,Northview High School,,Yes,Yes,1348,1019,240,733,46,23.5525,71.9332,4.5142,0.478392,1.46109,0.091691,2.0216,2 - Average,2 - Average,1 - Low,8508.166227,2343374.108591
53,SA100328,Glastonberry,Subdivision,72.764327,Barnwell Elementary School,Autrey Mill Middle School,Johns Creek High School,,No,No,55,39,7,28,4,17.9487,71.7948,10.2564,0.013953,0.055812,0.007973,0.0824,1 - Low,1 - Low,1 - Low,9544.578485,3169406.444195
54,SA100402,Glenhurst,Subdivision,74.550957,Wilson Creek Elementary School,River Trail Middle School,Northview High School,1998,No,No,1857,1426,297,980,149,20.8274,68.7237,10.4488,0.59201,1.953436,0.297002,2.785,2 - Average,2 - Average,2 - Average,8639.767328,3247312.905353
55,SA100383,Glenside,Subdivision,7.639652,Medlock Bridge Elementary School,River Trail Middle School,Northview High School,,No,No,3,2,1,1,0,50,50,0,0.001993,0.001993,0,0.0044,1 - Low,1 - Low,(no data),2352.822255,332737.164365
56,SA100329,Hampton Square,Subdivision,41.527373,Ocee Elementary School,Taylor Road Middle School,Chattahoochee High School,,No,No,662,471,151,279,41,32.0594,59.2356,8.7048,0.300988,0.556131,0.081725,0.9928,2 - Average,1 - Low,1 - Low,7322.536371,1807911.157113
57,SA100454,Hartridge,Subdivision,76.781703,Hillside Elementary School,Haynes Bridge Middle School,Centennial High School,,No,No,64,52,11,38,3,21.1538,73.0769,5.7692,0.021926,0.075745,0.005979,0.0959,1 - Low,1 - Low,1 - Low,8698.103983,3344392.925734
58,SA100471,Haynes Bridge Manor,Subdivision,13.643242,Northwood Elementary School,Haynes Bridge Middle School,Centennial High School,,Yes,Yes,298,229,44,155,30,19.2139,67.6855,13.1004,0.087705,0.308961,0.059799,0.4469,1 - Low,1 - Low,1 - Low,3161.457135,594164.618981
59,SA100517,Haynes Landing,Subdivision,52.85142,Northwood Elementary School,Haynes Bridge Middle School,Centennial High School,,No,No,66,48,11,32,5,22.9166,66.6666,10.4166,0.021926,0.063785,0.009966,0.0989,1 - Low,1 - Low,1 - Low,7526.466693,2301892.658378
60,SA100330,Highgate,Subdivision,36.800537,Medlock Bridge Elementary School,River Trail Middle School,Northview High School,,No,No,628,481,170,294,17,35.343,61.1226,3.5343,0.338861,0.58603,0.033886,0.9418,2 - Average,1 - Low,1 - Low,4970.125403,1603008.645366
61,SA100403,Highland Park,Subdivision,49.542598,Lake Windward Elementary School,Taylor Road Middle School,Chattahoochee High School,,No,No,658,480,132,338,10,27.5,70.4166,2.0833,0.263115,0.673736,0.019933,0.9868,1 - Low,1 - Low,1 - Low,7296.48148,2158055.725631
62,SA100293,Hillbrooke,Subdivision,104.558256,Abbotts Hill Elementary School,Taylor Road Middle School,Chattahoochee High School,,No,No,180,132,40,78,14,30.303,59.0909,10.606,0.079732,0.155477,0.027906,0.2699,1 - Low,1 - Low,1 - Low,13041.309846,4554537.248022
63,SA100473,"Homestead, The",Subdivision,37.587867,Shakerag Elementary School,River Trail Middle School,Northview High School,,Yes,Yes,657,497,117,357,23,23.5412,71.8309,4.6277,0.233216,0.711608,0.045845,0.9853,1 - Low,1 - Low,1 - Low,7455.971845,1881942.492402
64,SA100444,Hunters Close,Subdivision,52.477595,State Bridge Crossing Elementary School,Taylor Road Middle School,Chattahoochee High School,,No,No,489,373,126,221,26,33.7801,59.2493,6.9705,0.251156,0.440519,0.051825,0.7333,1 - Low,1 - Low,1 - Low,9200.442058,2285780.044976
65,SA100332,Hunters Forest,Subdivision,34.956064,Ocee Elementary School,Taylor Road Middle School,Chattahoochee High School,,No,No,89,63,20,38,5,31.746,60.3174,7.9365,0.039866,0.075745,0.009966,0.1334,1 - Low,1 - Low,1 - Low,6679.48395,1522663.837165
66,SA100333,Huntington,Subdivision,44.045842,Shakerag Elementary School,River Trail Middle School,Northview High School,,No,No,72,50,14,35,1,28,70,2,0.027906,0.069765,0.001993,0.1079,1 - Low,1 - Low,1 - Low,5586.519146,1922444.410888
67,SA100331,Hunts Pointe,Subdivision,22.413332,Dolvin Elementary School,Autrey Mill Middle School,Johns Creek High School,,No,No,17,13,4,9,0,30.7692,69.2307,0,0.007973,0.017939,0,0.0254,1 - Low,1 - Low,(no data),4001.763448,976256.024146
68,SA100509,Inisfree,Subdivision,5.885344,Northwood Elementary School,Haynes Bridge Middle School,Centennial High School,,No,Yes,3,2,1,1,0,50,50,0,0.001993,0.001993,0,0.0044,1 - Low,1 - Low,(no data),2200.615144,256365.569146
69,SA100334,Jones Bridge Landing,Subdivision,10.369364,Barnwell Elementary School,Autrey Mill Middle School,Johns Creek High School,,No,No,68,49,9,35,5,18.3673,71.4285,10.204,0.017939,0.069765,0.009966,0.1019,1 - Low,1 - Low,1 - Low,2925.404544,451574.563712
70,SA100277,Jones Bridge Plantation,Subdivision,42.019317,Dolvin Elementary School,Autrey Mill Middle School,Johns Creek High School,,No,No,465,354,105,221,28,29.661,62.4293,7.9096,0.209296,0.440519,0.055812,0.6973,1 - Low,1 - Low,1 - Low,10186.336064,2083293.448884
71,SA100336,Jones Bridge Woods,Subdivision,9.912891,Ocee Elementary School,Taylor Road Middle School,Chattahoochee High School,,No,No,288,205,66,121,18,32.1951,59.0243,8.7804,0.131557,0.241189,0.035879,0.4319,1 - Low,1 - Low,1 - Low,3048.303061,431600.789213
72,SA100338,Kingston Crossing,Subdivision,61.145881,State Bridge Crossing Elementary School,Autrey Mill Middle School,Johns Creek High School,1991,No,No,712,544,134,379,31,24.6323,69.6691,5.6985,0.267102,0.755461,0.061792,1.0678,1 - Low,2 - Average,1 - Low,7781.797873,2679314.603683
73,SA100387,Lakehill,Subdivision,34.249896,State Bridge Crossing Elementary School,Taylor Road Middle School,Chattahoochee High School,,No,No,57,41,14,25,2,34.1463,60.9756,4.878,0.027906,0.049832,0.003986,0.0854,1 - Low,1 - Low,1 - Low,5473.941503,1491867.4437
74,SA100447,Lakeview Estates,Subdivision,82.680761,State Bridge Crossing Elementary School,Autrey Mill Middle School,Johns Creek High School,2004,No,No,60,46,11,32,3,23.913,69.5652,6.5217,0.021926,0.063785,0.005979,0.0899,1 - Low,1 - Low,1 - Low,8270.963526,3601381.068182
75,SA100339,Laurel Ridge,Subdivision,18.745021,Abbotts Hill Elementary School,Taylor Road Middle School,Chattahoochee High School,2004,No,No,9,7,2,4,1,28.5714,57.1428,14.2857,0.003986,0.007973,0.001993,0.0134,1 - Low,1 - Low,1 - Low,3657.121909,816490.783566
76,SA100340,Laurelwood,Subdivision,60.411205,Shakerag Elementary School,River Trail Middle School,Northview High School,,No,No,971,734,173,528,33,23.5694,71.9346,4.4959,0.344841,1.052463,0.065778,1.4562,2 - Average,2 - Average,1 - Low,8445.296811,2631512.078384
77,SA100401,Lexington Woods,Subdivision,73.697557,Abbotts Hill Elementary School,Taylor Road Middle School,Chattahoochee High School,,No,No,302,213,69,130,14,32.3943,61.0328,6.5727,0.137537,0.259129,0.027906,0.4529,1 - Low,1 - Low,1 - Low,7174.544072,3165421.087925
78,SA100341,Linkwood,Subdivision,37.070933,State Bridge Crossing Elementary School,Autrey Mill Middle School,Johns Creek High School,,No,No,26,21,5,15,1,23.8095,71.4285,4.7619,0.009966,0.029899,0.001993,0.0389,1 - Low,1 - Low,1 - Low,5079.100744,1614644.563142
79,SA100388,Long Indian Creek,Subdivision,103.389518,Dolvin Elementary School,Autrey Mill Middle School,Johns Creek High School,,No,No,569,413,85,272,56,20.5811,65.8595,13.5593,0.16943,0.542178,0.111624,0.8533,1 - Low,1 - Low,1 - Low,10528.012818,4503585.563985
80,SA100472,Long Pointe,Townhomes,7.550702,Northwood Elementary School,Haynes Bridge Middle School,Centennial High School,,Yes,Yes,70,53,10,36,7,18.8679,67.9245,13.2075,0.019933,0.071758,0.013953,0.1049,1 - Low,1 - Low,1 - Low,3640.725462,328878.061743
81,SA100448,Mabry Park,Subdivision,30.929424,Abbotts Hill Elementary School,Taylor Road Middle School,Chattahoochee High School,,No,No,278,215,77,124,14,35.8139,57.6744,6.5116,0.153484,0.247169,0.027906,0.4169,1 - Low,1 - Low,1 - Low,7300.038644,1354877.743884
82,SA100343,Mayfair,Subdivision,124.137812,Hillside Elementary School,Haynes Bridge Middle School,Centennial High School,1991,No,No,417,314,65,214,35,20.7006,68.1528,11.1464,0.129564,0.426566,0.069765,0.6254,1 - Low,1 - Low,1 - Low,13156.869786,5407452.63259
83,SA100408,Medlock Bridge,Subdivision,293.576716,Medlock Bridge Elementary School,Autrey Mill Middle School,Johns Creek High School,,No,No,1927,1477,521,902,54,35.2742,61.0697,3.656,1.03851,1.797958,0.107638,2.89,3 - High,2 - Average,1 - Low,24856.072577,12789767.259626
