OBJECTID,FeatureID,AddrPtID,LndMrkType,CommonName,AddrNum,PreMod,PreDir,PreType,Separator,Name,PostType,PostDir,PostMod,City,State,Zip,Zip4,Ownership,Maintainer,Source,Comment,GlobalID,created_date,last_edited_date,Shape__Area,Shape__Length
1,LM100092,AP104567,School - Private/Other,Holy Redeemer Catholic School,3380,,,,,Old Alabama,Road,,,Johns Creek,GA,30022,,Private,,,,93beb491-059e-4706-84f8-b99fcbe2e650,2012-05-18T12:31:40.000Z,2015-02-10T17:00:25.000Z,5.54275310734886e-06,0.00936668694858345
2,LM100001,AP112346,Park - Local,Ocee Park,10900,,,,,Buice,Road,,,Johns Creek,GA,30022,,Public,Johns Creek,,,e981368c-500c-407b-8cf6-9b8d1980cadd,2011-03-18T08:46:03.000Z,2014-04-07T12:02:58.000Z,1.41962845519444e-05,0.0162823075236194
3,LM100002,AP114627,Park - Local,Autrey Mill Nature Preserve & Heritage Center,9770,,,,,Autrey Mill,Road,,,Johns Creek,GA,30022,,Private,,,,0a0a9774-a81f-4ecd-8d58-db2d91df400c,2011-03-18T08:46:03.000Z,2018-02-08T19:19:49.000Z,1.77446079259814e-05,0.0229652518935381
4,LM100003,AP104562,Park - Local,Newtown Park,3150,,,,,Old Alabama,Road,,,Johns Creek,GA,30022,,Public,Johns Creek,,,35b7f4ae-3e7f-4d01-bea0-8d12c673d1ac,2011-03-18T08:46:04.000Z,2014-04-07T12:02:58.000Z,2.07844977500292e-05,0.0203173370044736
5,LM100004,AP110684,Park - State/Federal,Chattahoochee River National Recreation Area - Jones Bridge,9101,,,,,Barnwell,Road,,,Johns Creek,GA,30022,,Public,US National Park Service,,,7b729f61-4805-4993-b70a-8d44e3c318aa,2011-03-18T08:46:04.000Z,2016-05-09T17:15:02.000Z,7.53728661243996e-05,0.100848093602335
6,LM100093,AP128363,School - Private/Other,Woodward Academy North,6565,,,,,Boles,Road,,,Johns Creek,GA,30097,,Private,,,,4c1968d8-5a25-44ae-9772-ecd2b3f7a5be,2012-05-18T12:19:07.000Z,2013-05-29T12:11:32.000Z,1.27897791582265e-05,0.0173986136147621
7,LM100005,AP128110,Park - State/Federal,Chattahoochee River National Recreation Area - Abbotts Bridge,0,,,,,Boles,Road,,,Johns Creek,GA,30022,,Public,US National Park Service,,,a1d0854e-af0d-4e11-ad66-db41c6464f26,2011-03-18T08:46:04.000Z,2017-06-27T18:32:34.000Z,3.99053185692577e-05,0.0502465075531039
8,LM100007,AP128424,Park - State/Federal,Chattahoochee River National Recreation Area - McGinnis Ferry,0,,,,,McGinnis Ferry,Road,,,Johns Creek,GA,30022,,Public,US National Park Service,,,affdd3ac-aefc-4674-9c31-6f69de7a4933,2011-03-18T08:46:04.000Z,2014-11-13T08:57:48.000Z,6.37089097631822e-05,0.0645754500481004
9,LM100006,AP108774,Park - Local,Shakerag Park,10945,,,,,Roger,Circle,,,Johns Creek,GA,30022,,Public,Johns Creek,,,63a41a2e-dab6-448e-a12d-9f14bcf114ed,2011-03-18T08:46:04.000Z,2014-11-13T08:57:49.000Z,2.63975645529851e-05,0.0411095515188968
10,LM100023,AP101626,School - Middle,River Trail Middle School,10795,,,,,Rogers,Circle,,,Johns Creek,GA,30097,,Public,Fulton County,,,c20a4740-a4c3-4af1-8de9-b572c204d2a2,2011-03-18T11:34:48.000Z,2014-04-07T12:02:58.000Z,1.15849804217426e-05,0.0146588192865902
11,LM100021,AP108360,School - Elementary,Shakerag Elementary School,10885,,,,,Rogers,Circle,,,Johns Creek,GA,30097,,Public,Fulton County,,,b96e293b-67a0-46ed-8aff-e71c39a8bcb2,2011-03-18T11:30:49.000Z,2014-04-07T12:02:58.000Z,1.43179051757109e-05,0.0150589758185574
12,LM100012,AP108350,Fire Department,Fire Station #62,10945,,,,,Roger,Circle,,,Johns Creek,GA,30022,,Public,Johns Creek,,,703e0e58-ec97-4235-ab58-92c63853bfa8,2011-03-18T10:26:04.000Z,2014-04-07T12:02:58.000Z,3.50318930363893e-07,0.00267081428182266
13,LM100008,AP109599,Library,Northeast / Spruill Oaks Library,9560,,,,,Spruill,Road,,,Johns Creek,GA,30022,,Public,Fulton County,,,369e13db-1b41-4feb-bfff-e120b0e8793e,2011-03-18T10:00:45.000Z,2014-04-07T12:02:58.000Z,2.36556247769183e-06,0.00649701332571415
14,LM100009,AP109601,Library,Dr. Robert E. Fulton Regional Library at Ocee,5090,,,,,Abbotts Bridge,Road,,,Johns Creek,GA,30005,,Public,Fulton County,,,6fee6a82-42d2-4829-bfad-36bf3392dff0,2011-03-18T10:05:51.000Z,2014-04-07T12:02:58.000Z,1.17788878557341e-06,0.00498673661776716
15,LM100035,AP109478,Shopping Center,,11600,,,,,Medlock Bridge,Road,,,Johns Creek,GA,30097,,Private,,,,61f4fb1d-8d08-4a80-9485-fbe56edac352,2011-03-18T13:06:47.000Z,2013-05-29T12:17:17.000Z,1.41270333428135e-06,0.00485334825675498
16,LM100011,AP128425,Fire Department,Fire Station #61,10265,,,,,Medlock Bridge,Parkway,,,Johns Creek,GA,30097,,Public,Johns Creek,,,5ff73dd9-04f3-4e35-947e-85893e17c9d7,2011-03-18T10:23:01.000Z,2014-04-07T12:02:58.000Z,9.86425157770833e-07,0.0042335927203678
17,LM100028,AP108359,School - Elementary,Medlock Bridge Elementary School,10215,,,,,Medlock Bridge,Parkway,,,Johns Creek,GA,30022,,Public,Fulton County,,,22c1a9d4-1169-4d36-a468-ff19e35f23e1,2011-03-18T11:58:38.000Z,2014-04-07T12:02:58.000Z,6.24083487399055e-06,0.0115042490694735
18,LM100013,AP104564,Fire Department,Fire Station #63,3165,,,,,Old Alabama,Road,,,Johns Creek,GA,30022,,Public,Johns Creek,,,214071f1-7987-4417-8658-9abe642e8735,2011-03-18T10:29:44.000Z,2014-04-07T12:02:58.000Z,5.46143003283112e-07,0.00296745043118683
19,LM100064,AP108380,Shopping Center,Haynes Bridge Village,9925,,,,,Haynes Bridge,Road,,,Johns Creek,GA,30022,,Private,,,,cd6e05d5-f574-41a9-a1a6-00686d178407,2011-03-18T13:06:49.000Z,2013-05-29T12:19:05.000Z,5.32599732025277e-06,0.0103243157513042
20,LM100015,AP127778,Municipal Court,Johns Creek Municipal Court,11445,,,,,Johns Creek ,Parkway,,,Johns Creek,GA,30097,,Public,Johns Creek,,,cbdb5607-2795-4499-835d-b8bb04fee03f,2011-03-18T10:34:27.000Z,2014-04-07T12:02:58.000Z,1.36872127384271e-06,0.00465172027790054
21,LM100014,AP127779,Police Station,Johns Creek Police Department,11445,,,,,Johns Creek,Parkway,,,Johns Creek,GA,30097,,Public,Johns Creek,,,90d1899e-447c-4a35-bef9-e6f877c06123,2011-03-18T10:34:20.000Z,2014-04-07T12:02:58.000Z,1.36872127384271e-06,0.00465172027790054
22,LM100017,AP108659,School - Middle,Taylor Road Middle School,5150,,,,,Taylor,Road,,,Johns Creek,GA,30022,,Public,Fulton County,,,b3d7f20c-c8e8-486a-903e-35f26f1c3544,2011-03-18T10:49:51.000Z,2014-04-07T12:02:58.000Z,1.50780772567156e-05,0.0158770601075034
23,LM100016,AP106837,School - High,Chattahoochee High School,5230,,,,,Taylor,Road,,,Johns Creek,GA,30022,,Public,Fulton County,,,4673aa93-f151-4747-af10-982959d808f1,2011-03-18T10:49:29.000Z,2014-11-04T00:00:00.000Z,1.47198315916449e-05,0.0155809658043222
24,LM100018,AP106629,School - High,Johns Creek High School,5575,,,,,State Bridge,Road,,,Johns Creek,GA,30022,,Public,Fulton County,,,5413c2fa-6476-4082-9087-4d7dcc370501,2011-03-18T10:55:15.000Z,2014-04-07T12:02:58.000Z,1.90309311316152e-05,0.0207379682880165
25,LM100050,AP123702,Shopping Center,State Bridge Shopping Center,5779,,,,,State Bridge,Road,,,Johns Creek,GA,30022,,Private,,,,e621d25c-26c2-43ab-acd7-3eea3e25852d,2011-03-18T13:06:48.000Z,2013-05-29T12:22:54.000Z,4.10733136147161e-07,0.00248284637461603
26,LM100045,AP106439,Shopping Center,Shops of Warsaw,9810,,,,,Medlock Bridge,Road,,,Johns Creek,GA,30097,,Private,,,,db82f41e-3024-4f6b-bced-c1fbfed028e9,2011-03-18T13:06:48.000Z,2013-05-29T12:22:50.000Z,7.13556803032542e-07,0.00359420024710031
27,LM100044,AP123707,Shopping Center,Fairway Plaza,9730,,,,,Medlock Bridge,Road,,,Johns Creek,GA,30097,,Private,,,,e3e2ef2f-1794-4173-950a-4ed012f981fd,2011-03-18T13:06:48.000Z,2013-05-29T12:22:53.000Z,5.49847500196542e-07,0.00304195672893275
28,LM100019,AP107256,School - High,Northview High School,10625,,,,,Parsons,Road,,,Johns Creek,GA,30097,,Public,Fulton County,,,2a8deb0e-9800-44cb-8bf7-bb3d7d2b8d1f,2011-03-18T11:00:40.000Z,2014-04-07T12:02:58.000Z,2.85706825071033e-05,0.0295949743463364
29,LM100020,AP108361,School - Middle,Autrey Mill Middle School,4110,,,,,Old Alabama,Road,,,Johns Creek,GA,30022,,School,Fulton County,,,40730f26-97e1-48bf-997e-76ac7a9f7858,2011-03-18T11:07:07.000Z,2016-01-19T19:59:56.000Z,9.81214951289083e-06,0.0141448722110927
30,LM100024,AP122261,School - Elementary,Abbotts Hill Elementary School,5575,,,,,Abbotts Bridge,Road,,,Johns Creek,GA,30097,,Public,Fulton County,,,e3e9e681-2336-4680-9468-8819372f7372,2011-03-18T11:41:28.000Z,2014-04-07T12:02:58.000Z,1.29372099934527e-05,0.0149956581370702
31,LM100027,AP124286,School - Elementary,Findley Oaks Elementary School,5880,,,,,Findley Chase,Drive,,,Johns Creek,GA,30097,,Public,Johns Creek,,,70350d05-a544-4a39-84e2-a4f2d58ebea3,2011-03-18T11:50:07.000Z,2014-04-07T12:02:58.000Z,6.41013590238856e-06,0.0106567799708786
32,LM100030,AP108723,School - Elementary,State Bridge Crossing Elementary School,5530,,,,,State Bridge,Road,,,Johns Creek,GA,30022,,Public,Fulton County,,,8f8f34b4-fc95-49d7-87a5-bcdb085c1a8d,2011-03-18T12:07:27.000Z,2014-04-07T12:02:58.000Z,1.01783301173878e-05,0.0131351408928289
33,LM100031,AP108724,School - Elementary,Wilson Creek Elementary School,6115,,,,,Wilson,Road,,,Johns Creek,GA,30097,,Public,Fulton County,,,15e38c00-385d-448d-aa44-6b0187b52ec4,2011-03-18T12:20:34.000Z,2014-04-07T12:02:58.000Z,8.71177023193398e-06,0.0123502524975972
34,LM100085,AP108717,Shopping Center,Ivy Falls,10475,,,,,Medlock Bridge,Road,,,Johns Creek,GA,30097,,Private,,,,3e440c2f-dd55-4397-8707-1d9d63716286,2011-03-24T00:00:00.000Z,2013-05-29T12:30:37.000Z,3.86118924146609e-06,0.0100757749215825
35,LM100032,AP107979,Hospital,Emory Johns Creek Hospital,6325,,,,,Hospital,Parkway,,,Johns Creek,GA,30097,,Private,Emory University,,,d259dc2a-117e-480d-a220-30167a07dbf7,2011-03-18T12:45:32.000Z,2016-06-20T14:33:45.000Z,2.65679153012047e-05,0.0256121362133482
36,LM100033,AP113422,Hospital,Northside Urgent Care,11180,,,,,State Bridge,Road,,,Johns Creek,GA,30022,,Private,,,,de4fc73c-b9e2-4f39-b3bd-f71dd1e05feb,2011-03-18T12:54:20.000Z,2013-05-29T12:33:28.000Z,1.29200657823132e-07,0.00145268263938343
37,LM100029,AP108686,School - Elementary,Ocee Elementary School,4375,,,,,Kimball Bridge,Road,,,Johns Creek,GA,30022,,Public,Fulton County,,,8602024b-0a00-4955-802c-1bef8d104eef,2011-03-18T12:02:06.000Z,2014-04-07T12:02:58.000Z,7.31797812783945e-06,0.0109718367904633
38,LM100095,,Shopping Center,Northwoods Office Condos,,,,,,,,,,,GA,,,,,,,a567c98e-e047-4cf7-8cb3-cf63ae4e7e6d,2013-05-29T12:33:28.000Z,2013-05-29T12:35:06.000Z,1.10244508717701e-06,0.00628350885378719
39,LM100078,AP106680,Shopping Center,The Terraces at Johns Creek,6375,,,,,McGinnis Ferry,Road,,,Johns Creek,GA,30097,,Private,,,,9b548dcd-bf49-4f66-82c0-219ae31e6307,2011-03-18T13:06:49.000Z,2013-05-29T12:36:23.000Z,1.19699426561856e-06,0.00501532599236437
40,LM100034,AP126948,Shopping Center,Johns Creek Village,11720,,,,,Medlock Bridge,Road,,,Johns Creek,GA,30097,,Private,,,,58cc306d-5039-45e6-9b65-58e8e92ecd1b,2011-03-18T13:06:47.000Z,2013-05-29T12:36:20.000Z,7.98378257088923e-06,0.011306524053083
41,LM100036,AP106315,Shopping Center,Johns Creek Walk,11030,,,,,Medlock Bridge,Road,,,Johns Creek,GA,30097,,Private,,,,c06a5a81-1c93-4680-86b3-492339d08400,2011-03-18T13:06:47.000Z,2013-05-29T12:40:31.000Z,2.45235029490825e-06,0.00684912182780038
42,LM100037,AP125032,Shopping Center,Medlock Promenade,10900,,,,,Medlock Bridge,Road,,,Johns Creek,GA,30097,,Private,,,,fd3a97a7-86ba-4c9e-bc5f-4d01e6d1b9fe,2011-03-18T13:06:47.000Z,2016-06-01T15:52:21.000Z,2.84630762819886e-06,0.00848747028551816
43,LM100038,AP126842,Shopping Center,Abbotts Bridge Station,10820,,,,,Abbotts Bridge,Road,,,Johns Creek,GA,30097,,Private,,,,8817b176-3e4f-4f46-8b6f-79c6822624a4,2011-03-18T13:06:48.000Z,2013-05-29T12:43:56.000Z,7.18814688894283e-06,0.0111687815451227
44,LM100039,AP108733,Shopping Center,Ivy Village,10450,,,,,Medlock Bridge,Road,,,Johns Creek,GA,30097,,Private,,,,bbd3062d-5fdf-4143-88fc-f38522fb6373,2011-03-18T13:06:48.000Z,2013-05-29T12:45:19.000Z,1.09812115822849e-06,0.00426339307539135
45,LM100042,AP125514,Shopping Center,Medlock Village Shopping Center,10350,,,,,Medlock Bridge,Road,,,Johns Creek,GA,30097,,Private,,,Also includes 10360 Medlock Bridge Rd,1b02f789-0445-4a86-a3ea-cee35bfe1cfa,2011-03-18T13:06:48.000Z,2016-02-08T16:29:47.000Z,1.21866935103733e-06,0.00630888643773005
46,LM100041,AP125524,Shopping Center,Bella Palazzo,10305,,,,,Medlock Bridge,Road,,,Johns Creek,GA,30097,,Private,,,,1a58d145-472a-4709-bfa5-cdc9badbcad8,2011-03-18T13:06:48.000Z,2013-05-29T12:46:18.000Z,2.63109284876471e-06,0.00735487230414171
47,LM100046,AP128428,Shopping Center,Medlock Corners,5805,,,,,State Bridge,Road,,,Johns Creek,GA,30097,,Private,,,,266ea73f-c9d2-442a-a5ed-c36a26db7489,2011-03-18T13:06:48.000Z,2015-07-17T00:00:00.000Z,1.0751615607023e-05,0.016579834371259
48,LM100082,AP106549,Shopping Center,Riverwalk Marketplace,5945,,,,,State Bridge,Road,,,Johns Creek,GA,30022,,Private,,,,c8d0c457-efd5-41e1-818b-51266f607e38,2011-03-23T00:00:00.000Z,2015-07-17T00:00:00.000Z,3.20498818273717e-06,0.00754230977761144
49,LM100047,AP123767,Shopping Center,State Bridge Corners,5950,,,,,State Bridge,Road,,,Johns Creek,GA,30097,,Private,,,Includes 9775 Medlock Bridge Road,e43e32b3-d64b-44a2-a287-785e879aeab2,2011-03-18T13:06:48.000Z,2016-02-08T16:33:20.000Z,1.69324979776348e-05,0.0176588813393883
50,LM100049,AP123661,Shopping Center,Medlock Crossing,9700,,,,,Medlock Bridge,Road,,,Johns Creek,GA,30097,,Private,,,,dffc677d-a196-4396-9f1d-a7ab027a4361,2011-03-18T13:06:48.000Z,2013-05-29T12:48:48.000Z,8.918458657007e-06,0.0122990148396342
51,LM100091,AP123756,School - Private/Other,Perimeter School,9500,,,,,Medlock Bridge,Road,,,Johns Creek,GA,30097,,Private,,,,3d618f5b-57b5-41a4-935c-3c282c6bc80b,2012-05-18T12:23:57.000Z,2015-02-13T10:16:36.000Z,2.60644352599503e-05,0.022690711449317
