OBJECTID,FeatureID,AddrPtID,LndMrkType,CommonName,AddrNum,PreMod,PreDir,PreType,Separator,Name,PostType,PostDir,PostMod,City,State,Zip,Zip4,Ownership,Maintainer,Source,Comment,GlobalID,created_date,last_edited_date,Shape__Area,Shape__Length
52,LM100090,AP123784,Golf Course,Atlanta Athletic Club,1930,,,,,Bobby Jones,Drive,,,Johns Creek,GA,30097,,Private,,2010 imagery,,84041ed4-aa6f-4912-9926-0ac74b30b5ce,2011-04-22T11:30:19.000Z,2013-05-29T12:50:00.000Z,0.000181794416958802,0.074539521266214
53,LM100051,AP108658,Shopping Center,Johns Creek Center for the Arts & Design,10700,,,,,Jones Bridge,Road,,,Johns Creek,GA,30022,,Private,,,,16837129-e0d4-4d00-92cf-a6fdeee77db7,2011-03-18T13:06:48.000Z,2013-05-29T12:50:34.000Z,2.42156390211303e-06,0.00675908870097371
54,LM100052,AP115466,Shopping Center,North Bridges,10955,,,,,Jones Bridge,Road,,,Johns Creek,GA,30022,,Private,,,,122c536a-03d6-4530-94a5-e645fcd82199,2011-03-18T13:06:48.000Z,2015-08-10T00:00:00.000Z,6.38524799566909e-06,0.0124016123190777
55,LM100053,AP113818,Shopping Center,Johns Creek Shopping Center,10875,,,,,Jones Bridge,Road,,,Johns Creek,GA,30022,,Private,,,,2175ca5f-55c4-43bb-b601-e4021737a593,2011-03-18T13:06:48.000Z,2013-05-29T13:28:11.000Z,1.38510957245089e-06,0.00500120082143812
56,LM100056,AP113924,Shopping Center,Tadka Square,11105,,,,,State Bridge,Road,,,Johns Creek,GA,30022,,Private,,,Includes 10995 State Bridge Road,cda8eee5-b915-405d-b070-325a592c8a0d,2011-03-18T13:06:48.000Z,2016-02-08T16:56:50.000Z,5.15569866046743e-06,0.0096099135664444
57,LM100054,AP115498,Shopping Center,Saddle Brook,10945,,,,,State Bridge,Road,,,Johns Creek,GA,30022,,Private,,,,69732fc8-2efc-46ee-aa57-dcd683183269,2011-03-18T13:06:48.000Z,2015-02-11T11:44:30.000Z,5.68208135951648e-06,0.010325935393554
58,LM100057,AP113504,Shopping Center,State Bridge Centre,11164,,,,,State Bridge,Road,,,Johns Creek,GA,30022,,Private,,,,a8aacd6e-d529-4cdb-a149-ac28cbba12b9,2011-03-18T13:06:48.000Z,2013-05-29T13:30:21.000Z,6.40019486296749e-07,0.00321859702386259
59,LM100058,AP113400,Shopping Center,The Grand Pavilion at North Fulton,11130,,,,,State Bridge,Road,,,Johns Creek,GA,30022,,Private,,,,84f82725-1142-4a40-a4d9-64d61ae9385e,2011-03-18T13:06:48.000Z,2013-05-29T13:30:18.000Z,3.20203409174928e-06,0.00925101365285055
60,LM100059,AP106331,Shopping Center,Carlyle Commons,10970,,,,,State Bridge,Road,,,Johns Creek,GA,30022,,Private,,,Includes 10990 State Bridge Road,bd9c45bc-b00b-43ce-bde7-e06d75a6f4f8,2011-03-18T13:06:48.000Z,2016-02-08T16:56:04.000Z,3.45222246258424e-06,0.0103410952263476
61,LM100061,AP106527,Shopping Center,Shops at Jones Bridge,9950,,,,,Jones Bridge,Road,,,Johns Creek,GA,30022,,Private,,,,beaaebbb-d350-4211-9381-a4213b71bddd,2011-03-18T13:06:49.000Z,2013-05-29T13:31:26.000Z,8.12919862063012e-07,0.00367943441746475
62,LM100062,AP108523,Shopping Center,Jones Bridge Promenade,9945,,,,,Jones Bridge,Road,,,Johns Creek,GA,30022,,Private,,,,51ca71d4-daf2-41b5-a015-04db9dedbb0e,2011-03-18T13:06:49.000Z,2013-05-29T13:31:53.000Z,2.75673932098071e-06,0.00778548879566617
63,LM100063,AP110368,Shopping Center,Camden Village,3719,,,,,Old Alabama,Road,,,Johns Creek,GA,30022,,Private,,,,cc682129-898c-4199-9432-8e1ee0f298fc,2011-03-18T13:06:49.000Z,2013-05-29T13:32:26.000Z,2.17446226546873e-06,0.00631520699311966
64,LM100065,AP100669,Shopping Center,Haynes Market,3000,,,,,Haynes Bridge,Road,,,Johns Creek,GA,30022,,Private,,,,432e19ee-e75f-4081-97c3-667c1457be5c,2011-03-18T13:06:49.000Z,2013-05-29T13:33:04.000Z,6.50905174203801e-06,0.0114092369288015
65,LM100066,AP109029,Shopping Center,Old Alabama Square,3005,,,,,Old Alabama,Road,,,Johns Creek,GA,30022,,Private,,,,6debc2d8-ebe5-4f45-8245-73f47623a5c6,2011-03-18T13:06:49.000Z,2013-05-29T13:33:42.000Z,6.22725853994136e-06,0.0119864522302186
66,LM100094,AP100498,School - Private/Other,Mount Pisgah Christian School,9820,,,,,Nesbit Ferry,Road,,,Johns Creek,GA,30022,,Private,,,,05d6b878-1b73-422a-8b5c-02d32e7322a0,2012-05-18T12:28:19.000Z,2015-02-10T16:37:30.000Z,4.82340631732527e-06,0.0106855291625075
67,LM100067,AP103764,Shopping Center,Nesbit Ferry Crossing,9850,,,,,Nesbit Ferry,Road,,,Johns Creek,GA,30022,,Private,,,,f8198e8c-9ae1-470e-896a-68688e77f6f2,2011-03-18T13:06:49.000Z,2015-02-13T08:53:19.000Z,2.41630953597705e-06,0.00680065035484897
68,LM100068,AP102286,Shopping Center,Rivermont Station,8465,,,,,Holcomb Bridge,Road,,,Johns Creek,GA,30022,,Private,,,,85a1f192-5a1f-480a-ad1b-ea04dcfdaa2d,2011-03-18T13:06:49.000Z,2013-05-29T13:35:17.000Z,1.21758746494014e-05,0.0177990731479341
69,LM100069,AP108713,Shopping Center,Abbotts Village at Ocee,11585,,,,,Jones Bridge,Road,,,Johns Creek,GA,30022,,Private,,,,98d8bdc8-5b04-4527-b222-fe30cb8d3e45,2011-03-18T13:06:49.000Z,2013-05-29T13:35:59.000Z,5.60823273930658e-06,0.0106130076315001
70,LM100070,,Shopping Center,Ocee Plaza,11550,,,,,Jones Bridge,Road,,,Johns Creek,GA,30022,,Private,,,,86caa7fa-e4b9-4856-9628-d13f7ec97fb4,2011-03-18T13:06:49.000Z,2013-05-29T13:36:22.000Z,1.09003550587028e-06,0.00451119657188276
71,LM100072,AP106320,Shopping Center,Addison Plaza,11765,,,,,Jones Bridge,Road,,,Johns Creek,GA,30022,,Private,,,,053fb884-74b8-4d3d-aa86-6e3b5481b473,2011-03-18T13:06:49.000Z,2013-05-29T13:37:14.000Z,4.81815595408665e-07,0.00277221417838911
72,LM100073,AP107517,Shopping Center,Shoppes at Jones Bridge,11730,,,,,Jones Bridge,Road,,,Johns Creek,GA,30005,,Private,,,,6f5d5385-f1ac-4c13-80b3-d455d38d7c3b,2011-03-18T13:06:49.000Z,2013-05-29T13:37:10.000Z,4.16229599434263e-07,0.00262676694188731
73,LM100071,AP106413,Shopping Center,,11705,,,,,Jones Bridge,Road,,,Johns Creek,GA,30005,,Private,,,,71626504-bcb1-4bec-911c-2bacc5fd1095,2011-03-18T13:06:49.000Z,2013-05-29T13:37:12.000Z,2.48644903116466e-06,0.00655983985015126
74,LM100074,AP117369,Shopping Center,Windward Village,11877,,,,,Douglas,Road,,,Johns Creek,GA,30005,,Private,,,,77d28fe1-328d-4a61-94e1-03241a859608,2011-03-18T13:06:49.000Z,2016-06-08T13:12:39.000Z,5.55314307282864e-06,0.00953983180079343
75,LM100077,AP119260,Shopping Center,Jones Bridge Triangle,11875,,,,,Jones Bridge,Road,,,Johns Creek,GA,30005,,Private,,,,654d0cd8-12ea-46bf-a5d4-15a63daa8530,2011-03-18T13:06:49.000Z,2013-05-29T13:39:13.000Z,3.5071342163254e-06,0.0108644068443078
76,LM100075,AP119433,Shopping Center,Shoppes at Douglas,11890,,,,,Douglas,Road,,,Johns Creek,GA,30005,,Private,,,,72510f5e-c354-4ba3-9c32-a3f44d44a250,2011-03-18T13:06:49.000Z,2013-05-29T13:40:02.000Z,4.66406131459323e-07,0.00330147818929116
77,LM100076,AP106387,Shopping Center,Seven Winds,11950,,,,,Jones Bridge,Road,,,Johns Creek,GA,30005,,Private,,,,fecf1822-968f-475f-bc5c-ac99c3aac246,2011-03-18T13:06:49.000Z,2013-05-29T13:40:00.000Z,1.90677931548649e-06,0.00614720251759599
78,LM100080,,Golf Course,Rivermont Golf and Country Club,,,,,,Rivermont Golf and Country Club,,,,,GA,,,,,,,e363d0ef-a4d2-4ad1-bfec-f5c6d07a9f1a,2011-03-18T13:14:57.000Z,2013-05-29T13:42:52.000Z,6.79867042711817e-05,0.12760449602273
79,LM100083,AP122947,Shopping Center,Edwin Watts Golf,10070,,,,,Medlock Bridge,Road,,,Johns Creek,GA,30097,,Private,,,,0c2d4e1c-d88b-4a07-9ecf-71ab9788c622,2011-03-23T00:00:00.000Z,2013-05-29T13:44:01.000Z,6.2427997964368e-07,0.00358802853948587
80,LM100087,AP115510,Shopping Center,Gymboree Center,11005,,,,,Jones Bridge,Road,,,Johns Creek,GA,30022,,Private,,,,3fdefb57-b9ed-41f9-bf1b-662906801ae0,2011-03-29T00:00:00.000Z,2015-02-11T11:44:07.000Z,1.52706480767527e-06,0.00558926362142778
81,LM100089,AP128434,Shopping Center,Lakefield Center at Johns Creek,6955,,,,,McGinnis Ferry,Road,,,Johns Creek,GA,30097,,,,,,e4e5b82f-1839-42b3-b35c-aeeaaf42b2a9,2011-03-31T12:10:11.000Z,2013-05-29T13:45:38.000Z,1.61122279327727e-06,0.00549392463922789
82,LM100043,AP106312,Shopping Center,Medlock Bridge,6000,,,,,Medlock Bridge,Parkway,,,Johns Creek,GA,30097,,Private,,,,f2bcbfb0-2386-4b5d-ab3c-06b6a1c5bf2a,2011-03-18T13:06:48.000Z,2016-06-01T17:29:16.000Z,7.49019991284454e-06,0.0120794016743957
83,LM100096,AP133634,Park - Local,Future Bell-Boles Park,10575,,,,,Bell,Road,,,Johns Creek,GA,30097,,Public,Johns Creek,,,04dab02e-c3fd-4eed-99be-2609a3524d48,2014-04-07T11:57:09.000Z,2018-02-28T19:04:46.000Z,9.19941429157487e-07,0.00492974068496789
84,LM100097,AP136085,Park - Local,Future State Bridge Park,10610,,,,,State Bridge,Road,,,Johns Creek,GA,30022,,Johns Creek,Johns Creek,,,543cc532-8876-4caf-a1d3-556c05d5e14b,2014-04-07T11:57:57.000Z,2018-02-28T19:04:49.000Z,1.90250954233145e-06,0.00740833702564726
85,LM100026,AP112395,School - Elementary,Dolvin Elementary School,10495,,,,,Jones Bridge,Road,,,Johns Creek,GA,30022,,,Fulton County,,,d0c26eed-5364-4202-9d95-6ac8e904cc77,2011-03-18T11:45:58.000Z,2014-10-16T00:00:00.000Z,9.70871695588869e-06,0.0135470292100045
86,LM100025,AP111914,School - Elementary,Barnwell Elementary School,9425,,,,,Barnwell,Road,,,Johns Creek,GA,30022,,Public,Fulton County,LDP2013-08 Rev1,,d35b2cab-d93b-441f-b4b3-300553001636,2011-03-18T11:43:52.000Z,2014-10-29T00:00:00.000Z,8.36753179002634e-06,0.0121476665690058
87,LM100098,AP128870,Park - Local,Future Morton Road Park,4860,,East,,,Morton,Road,,,Johns Creek,GA,30022,5693,Johns Creek,Johns Creek,,,07bb12d4-443f-4a2f-a619-ce6d7dd0138a,2015-11-25T15:37:26.000Z,2018-02-28T19:04:51.000Z,1.67086552333065e-06,0.00617439258615832
88,LM100099,AP114629,Golf Course,River Pines Golf Course,4775,,,,,Old Alabama,Road,,,Johns Creek,GA,30022,5538,Private,,Parcel layer,,8644aa82-c1f5-4ce7-9cff-e0b46a58b858,2015-12-10T15:36:36.000Z,2015-12-10T15:44:17.000Z,7.15731510487319e-05,0.0339388769598485
89,LM100100,AP110814,Golf Course,Country Club of the South,4100,,,,,Old Alabama,Road,,,Johns Creek,GA,30022,8615,Private,,Parcels,,0c2cc08d-e2d3-4118-a90a-fb1167113d6f,2015-12-10T15:41:19.000Z,2015-12-10T15:44:24.000Z,6.72514928280943e-05,0.166611233004195
90,LM100103,AP107584,Park - Local,Future Linear Lakes Park,11455,,,,,Medlock Bridge,Road,,,Johns Creek,GA,30097,1688,,,,,03314fa4-c21d-4a2a-89e3-30a0d7dcda21,2016-01-27T14:50:48.000Z,2018-02-28T19:05:04.000Z,7.50654991745085e-06,0.0246585097504423
91,LM100102,AP108784,Park - Local,,6460,,East,,,Johns,Crossing,,,Johns Creek,GA,30097,1552,Johns Creek,Johns Creek,,,a3eea2ca-ef66-43f1-8134-9d7dc1cbc0bd,2016-01-27T14:50:48.000Z,2016-01-27T14:55:14.000Z,5.52577812889256e-07,0.00298321894720828
92,LM100108,AP113830,Shopping Center,,10800,,,,,Jones Bridge,Road,,,Johns Creek,GA,30022,,Private,,Code enforcement,,8fe60582-f9f8-4ab7-b091-686e1374618b,2016-02-08T16:23:45.000Z,2018-02-28T19:07:19.000Z,3.32974897179371e-07,0.00246453062683602
93,LM100109,AP117376,Shopping Center,,5075,,,,,Abbotts Bridge,Road,,,Johns Creek,GA,30005,2510,Private,,Code enforcement,"Includes Dynamo Swim, Marco's, Childtime Preschool, etc.",7f10b84d-4cd6-43ed-9c4b-e24fe69c2529,2016-02-08T16:34:53.000Z,2018-02-28T19:07:23.000Z,2.07734118348703e-06,0.00703518763257745
94,LM100110,,Office Park,Parsons Meadow,10700,,,,,Medlock Bridge,Road,,,Johns Creek,GA,30097,8455,Private,,Code enforcement,Includes 10670-10750 Medlock Bridge Road,2c0cb429-6ecf-494c-a59b-8861a1f6a5e3,2016-02-08T16:41:52.000Z,2018-02-28T19:07:36.000Z,7.61617851847184e-06,0.0118045846547601
95,LM100111,AP123708,Shopping Center,,5725,,,,,State Bridge,Road,,,Johns Creek,GA,30022,6195,Private,,Code enforcement,"Includes Upscale Resale, etc. Adjacent to Pike",1f53068b-b6cc-48af-9587-ac74be774b01,2016-02-08T16:49:44.000Z,2018-02-28T19:07:38.000Z,1.2690645379495e-06,0.00459845020613307
96,LM100112,AP128493,Shopping Center,Johns Creek Promenade,11250,,,,,Medlock Bridge,Road,,,Johns Creek,GA,30097,,Private,,,,47f8e430-658c-40c2-8f9f-fc0720e1c739,2016-02-08T16:53:12.000Z,2018-02-28T19:07:41.000Z,1.99112644991303e-06,0.00572919478160029
97,LM100104,AP128480,Park - State/Federal,,7465,,,,,Bell,Road,,,Johns Creek,GA,30097,,Federal,US National Park Service,Parcel update from Fulton County,,3808e4a5-8e5f-409b-a63c-cda73922a7dd,2016-03-22T18:13:02.000Z,2016-03-22T18:17:40.000Z,1.68693447393828e-05,0.029322412857485
98,LM100105,AP106932,Government Office,Atlanta - Fulton County Water Treatment Plant,9750,,,,,Spruill,Road,,,Johns Creek,GA,30022,8616,Fulton County,Fulton County,Parcels,,a9ec0cef-ecb4-46e9-8dbf-c42de9d5f5fa,2017-04-24T13:38:51.000Z,2017-04-24T13:45:10.000Z,0.000107500726223103,0.0427544126787782
99,LM100010,AP108731,Government Office,Johns Creek City Hall (Temporary Location),10700,,,,,Abbotts Bridge,Road,,,Johns Creek,GA,30097,,Public,Johns Creek,,Temporary City Hall location for staff (meetings to be held at Municipal Court),5cad2e37-5027-43a7-ab61-8402db79b216,2017-08-11T19:40:18.000Z,2017-08-11T19:40:18.000Z,1.13666137914008e-06,0.00524628872153191
100,LM100010,AP107515,Government Office,Johns Creek City Hall (Under Construction),11360,,,,,Lakefield,Drive,,,Johns Creek,GA,30097,,Public,Johns Creek,,Location currently under construction,3c13daa6-7f08-4abc-a171-18a30af3e886,2017-08-11T19:40:18.000Z,2017-08-11T19:41:22.000Z,2.61175059622371e-06,0.00684321018351013
101,LM100107,AP136687,Golf Course,Heisman Field,9300,,,,,Medlock Bridge,Road,,,Johns Creek,GA,30097,,Private,,Added for LDP2014-12,Development address for LDP2014-12,935b0eea-ea09-4b4a-9cc4-cffe1c3769a8,2017-12-28T14:54:19.000Z,2017-12-28T14:59:36.000Z,3.00076967023027e-05,0.0262880251801846
102,LM100113,,Golf Course,St. Ives Country Club,1,,,,,Saint Ives Country Club,Drive,,,Johns Creek,GA,30097,5926,Private,,,,f9ae89d0-6fab-4f99-bf52-b3ceaa33d646,2018-02-28T19:06:29.000Z,2018-02-28T19:10:03.000Z,8.30083690326707e-05,0.184472971962506
103,LM100081,,Golf Course,The Standard Club,,,,,,,,,,,GA,,,,,,,2b562d73-ee66-45d2-9997-11ef359ab1ee,2011-03-18T13:16:49.000Z,2018-06-11T13:07:37.000Z,0.000107366734690567,0.0544730784116574
104,LM100101,AP103791,Park - Local,Future Cauley Creek Park,7255,,,,,Bell,Road,,,Johns Creek,GA,30097,1811,Johns Creek,Johns Creek,Surveyor CAD file,,1ddebf55-08de-470e-a86a-f9eb0968e441,2017-06-27T18:25:11.000Z,2018-03-21T13:40:09.000Z,7.56391676404062e-05,0.0522988026322811
