X,Y,OBJECTID,LONGITUDE,LATITUDE,FACNAME,FACTYPE,ADDRESS_1,ADDRESS_2,CITY,STATE,ZIP,AREACODE,PHONE,CONTACT,TITLE,FIPS,TYPE,NAME,METHOD,updated,draw,GlobalID
-84.515429387267346,34.112916322132072,391,-84.515828,34.11246,Woodstock Public Library,17,7745 North Main Street, ,Woodstock,Georgia,30188,770,926-5859, , ,13057,Library,Cherokee,GPS,2015-12-30T00:00:00.000Z, ,{4D3914B1-0FDA-4452-82F9-7012CBB3F4C2}
-84.217728797480063,33.933901723201139,392,-84.218628,33.933365,Norcross Public Library,17,6025 Buford Highway, ,Norcross,Georgia,30071,770,448-4938, , ,13135,Library,Gwinnett,GPS,2015-12-30T00:00:00.000Z, ,{FE3075D3-F221-48D3-BC59-0ED62966F064}
-84.634530575491937,33.814872377229321,393,-84.634812,33.814836,Sweetwater Valley Branch Library,17,2773 Sweetwater Street, ,Austell,Georgia,30106,770,819-3290, , ,13067,Library,Cobb,GPS,2015-12-30T00:00:00.000Z, ,{934F9FAA-30F5-4A91-9873-115F20F9DA59}
-84.256009438169784,33.795682384221131,394,-84.256142,33.795368,Tobie Grant Homework Library,17,644 Parkdale Drive, ,Scottdale,Georgia,30079,404,508-7174, , ,13089,Library,DeKalb,GPS,2015-12-30T00:00:00.000Z, ,{A62FBA8C-AF5E-44B1-9D9A-FADF63F249F7}
-84.578635782952063,33.825680970624973,395,-84.578633,33.825687,South Cobb Regional Library,17,805 Clay Road, ,Mabelton,Georgia,30126,678,3985828, , ,13067,Library,Cobb,Geocode,2015-12-30T00:00:00.000Z, ,{599424B0-B324-4713-A5AE-DADA72BE810E}
-84.018113928476964,33.665834774124207,396,-84.01789,33.665355,Nancy Guinn Memorial Library,17,864 Green Street, ,Conyers,Georgia,30012,770,388-5041, , ,13247,Library,Rockdale,GPS,2015-12-30T00:00:00.000Z, ,{C7342BFB-478D-454F-8DC1-A0EEA28D4E24}
-84.678120537435433,33.859057526016578,397,-84.678305,33.85887,Powder Springs Branch Library,17,4262 Marietta Street, ,Powder Springs,Georgia,30127,770,439-3600, , ,13067,Library,Cobb,GPS,2015-12-30T00:00:00.000Z, ,{C367C380-5652-45F6-8818-F9276515E858}
-84.405395419067844,33.658639834330856,398,-84.404648,33.657943,Hapeville Branch Library,17,525 King Arnold Street, ,Hapeville,Georgia,30354,404,762-4065, , ,13121,Library,Fulton,GPS,2015-12-30T00:00:00.000Z, ,{7B852FB8-9BAA-491E-899D-854E073E1609}
-84.585039552730109,33.917264429908776,399,-84.584685,33.917337,Stratton Branch Library,17,1100 Powder Springs Road, ,Marietta,Georgia,30064,770,528-2522, , ,13067,Library,Cobb,GPS,2015-12-30T00:00:00.000Z, ,{F4504A77-C917-4B80-8C1C-DDFBAF1B4224}
-84.660818656611013,33.787664375441622,400,-84.659375,33.781955,Lithia Springs Public Library,17,7100 Junior High Drive, ,Lithia Springs,Georgia,30122,770,944-5931, , ,13097,Library,Douglas,GPS,2015-12-30T00:00:00.000Z, ,{A314D5E3-8B96-42BD-99D7-0B0364BFECDE}
-84.596831375611046,33.474862977833943,401,-84.596894,33.475496,Tyrone Public Library,17,881 Senoia Road, ,Tyrone,Georgia,30290,770,487-1565, , ,13113,Library,Fayette,GPS,2015-12-30T00:00:00.000Z, ,{BBA4BBAE-A841-4FB5-ABA8-6F97291F2005}
-84.384882592141935,33.790530103335719,402,-84.385018,33.790363,Peachtree Branch Library,17,1315 Peachtree Street NE, ,Atlanta,Georgia,30309,404,885-7830, , ,13121,Library,Fulton,GPS,2015-12-30T00:00:00.000Z, ,{3B272B76-3E30-41EC-85C5-3252A0056B2B}
-84.192349136861594,33.759946446921205,403,-84.192235,33.759784,Hairston Crossing Branch Library,17,4911 Redan Road, ,Stone Mountain,Georgia,30088,404,508-7170, , ,13089,Library,DeKalb,GPS,2015-12-30T00:00:00.000Z, ,{C3222DA0-C3D3-4DF1-BB83-7231F9A35970}
-84.208627834746906,33.857298090165813,404,-84.211504,33.855766,Reid H. Cofer Branch Library,17,4316 Church Street, ,Tucker,Georgia,30084,770,270-8234, , ,13089,Library,DeKalb,GPS,2015-12-30T00:00:00.000Z, ,{25F6F4AA-4FCF-40A7-BFB8-027DA9EF4EAD}
-84.420619298814131,33.740766418361268,405,-84.420709,33.739925,West End Library,17,525 Peeples Street SW, ,Atlanta,Georgia,30310,404,752-8740, , ,13121,Library,Fulton,GPS,2015-12-30T00:00:00.000Z, ,{33A2218C-0876-45AE-A6AD-913818DA6CF1}
-84.239581270947411,33.805617992957302,406,-84.239434,33.80521,Clarkston Branch Library,17,951 North Indian Creek Drive, ,Clarkston,Georgia,30021,404,508-7175, , ,13089,Library,DeKalb,GPS,2015-12-30T00:00:00.000Z, ,{7920B4C0-58FF-4D6D-9524-FBA1619F0C5C}
-84.109300100317114,33.712333454768469,407,-84.109663,33.712004,Lithonia-Davison Branch Library,17,6821 Church Street, ,Lithonia,Georgia,30058,770,482-3820, , ,13089,Library,DeKalb,GPS,2015-12-30T00:00:00.000Z, ,{322DC122-928E-4EDE-B151-5611CA5241B2}
-84.440278912270955,33.680088130638644,408,-84.440276,33.680082,East Point Branch,17,2757 Main Street, ,East Point,Georgia,30344,404,762-4842, , ,13121,Library,Fulton,Local,2015-12-30T00:00:00.000Z, ,{4819DDA1-9B58-42FD-988B-551FB7730EB9}
-84.339938442702035,33.856945916206598,409,-84.340066,33.856943,Brookhaven Branch Library,17,1242 North Druid Hills Road, ,Atlanta,Georgia,30319,404,848-7140, , ,13089,Library,DeKalb,GPS,2015-12-30T00:00:00.000Z, ,{3723A1A3-A6E8-4DC1-94BB-F1E6815F337C}
-84.39550937270802,33.743490160875567,410,-84.395506,33.743484,Mechanicsville Branch,17,400 Formwalt Street SW, ,Atlanta,Georgia,30312,404,730-4779, , ,13121,Library,Fulton,Local,2015-12-30T00:00:00.000Z, ,{02AD4FFF-0D23-4A76-88BD-C2B12D52B3CA}
-84.615851978425994,34.024255303507161,411,-84.616417,34.024023,Kennesaw Branch Library,17,2250 Lewis Street, ,Kennesaw,Georgia,30144,770,528-2529, , ,13067,Library,Cobb,GPS,2015-12-30T00:00:00.000Z, ,{EFF8AE51-9847-463D-AE3B-9E48E982C1F1}
-84.371772587420253,33.754179328043975,412,-84.372582,33.754125,Martin Luther King Jr. Community Center,17,461 Edgewood Avenue SE, ,Atlanta,Georgia,30312,404,730-5414, , ,13121,Library,Fulton,GPS,2015-12-30T00:00:00.000Z, ,{7ACC07BD-3F5F-4D2C-AA51-E361644472CA}
-84.307648418790791,33.808671329085321,413,-84.30779,33.809269,Avis G. Williams Branch Library,17,1282 McConnell Drive, ,Decatur,Georgia,30033,404,679-4404, , ,13089,Library,DeKalb,GPS,2015-12-30T00:00:00.000Z, ,{A7C6CF1E-7498-40B0-A5BD-F1CA5B26A404}
-84.013188160445949,33.843939277547243,414,-84.013623,33.844069,Elizabeth H. Williams Public Library,17,2740 Lenora Church Road, ,Snellville,Georgia,30078,770,972-0988, , ,13135,Library,Gwinnett,GPS,2015-12-30T00:00:00.000Z, ,{2404814A-A479-4A1C-B445-1F153E9917C0}
-84.476856932779512,33.810713688227658,415,-84.476854,33.810707,Perry Homes Branch,17,2011 Bolton Road, ,Atlanta,Georgia,30318,404,792-4994, , ,13121,Library,Fulton,Local,2015-12-30T00:00:00.000Z, ,{DACFFDC0-8D30-4695-8FA4-6C52BF370B0D}
-84.209810314175371,34.063497481140551,416,-84.209807,34.063491,Ocee Branch,17,5090 Abbotts Bridge Road, ,Johns Creek,Georgia,30005,770,360-8897, , ,13121,Library,Fulton,Local,2015-12-30T00:00:00.000Z, ,{9C91954D-CD64-47A6-B52A-D1972013076D}
-84.230141080437122,33.544057684157899,417,-84.230267,33.543918,Cochran Public Library,17,4602 North Henry Boulevard, ,Stockbridge,Georgia,30281,770,389-7896, , ,13151,Library,Henry,GPS,2015-12-30T00:00:00.000Z, ,{2E2ED87C-DC49-4066-95B4-E67151139D4D}
-84.58117682025977,33.724193561852694,418,-84.578308,33.72412,Boatrock Branch Library,17,5860 Boat Rock Road, ,Atlanta,Georgia,30331,404,346-8390, , ,13121,Library,Fulton,GPS,2015-12-30T00:00:00.000Z, ,{AFA6F186-9CA4-4B7C-A06D-5D1DA9AD7B5D}
-84.66927656671696,33.96684679729001,419,-84.669284,33.966879,Kemp Memorial Library,17,4029 Due West Road, ,Marietta,Georgia,30064,770,528-2527, , ,13067,Library,Cobb,GPS,2015-12-30T00:00:00.000Z, ,{AD6D1495-AB78-4B18-9B35-4FF021904393}
-84.395179139339291,33.700633459709387,420,-84.395176,33.700627,Carver Homes Branch,17,215 Lakewood Way, ,Atlanta,Georgia,30315,404,635-4012, , ,13121,Library,Fulton,Local,2015-12-30T00:00:00.000Z, ,{E15C27F5-B8CF-4241-A323-10554BFB1D60}
-84.702428680001887,33.998541006773905,421,-84.702477,33.998322,West Cobb Regional Library,17,1750 Dennis Kemp Lane, ,Kennesaw,Georgia,30152,770,528-4699, , ,13067,Library,Cobb,Geocode,2015-12-30T00:00:00.000Z, ,{9911DF3F-E23C-4AB7-826C-DDC8C3F4057D}
-84.0192615382268,33.938176231500755,422,-84.014054,33.941478,Lawrenceville Public Library,17,1001 Lawrenceville Highway, ,Lawrenceville,Georgia,30045,770,822-4522, , ,13135,Library,Gwinnett,GPS,2015-12-30T00:00:00.000Z, ,{A81EDACA-A7E9-4C7A-846C-F92623392C01}
-84.75288077671695,33.742519352368113,423,-84.751765,33.742601,Douglas County Public Library,17,6810 Selman Drive, ,Douglasville,Georgia,30134,770,920-7125, , ,13097,Library,Douglas,GPS,2015-12-30T00:00:00.000Z, ,{378DEA55-0E53-4B52-83BD-ADEA07406B3A}
-84.42179086941438,34.171624520136888,424,-84.422456,34.170357,Hickory Flat Public Library,17,2740 East Cherokee Drive, ,Canton,Georgia,30115,770,345-7565, , ,13057,Library,Cherokee,GPS,2015-12-30T00:00:00.000Z, ,{02E33E2B-8104-4960-B265-7767292202DC}
-84.585357397149863,33.567174633072696,425,-84.584645,33.56673,Fairburn/Hobgood Palmer Library,17,60 Valley View Drive, ,Fairburn,Georgia,30213,770,306-3138, , ,13121,Library,Fulton,GPS,2015-12-30T00:00:00.000Z, ,{F11547C8-7C7E-4F41-BC32-D20372E8FBDC}
-84.17118669620217,33.806382388654818,426,-84.17118,33.806116,Sue Kellog Branch Library,17,952 Leon Street, ,Stone Mountain,Georgia,30083,770,413-2020, , ,13089,Library,DeKalb,GPS,2015-12-30T00:00:00.000Z, ,{987BB8CB-CFFE-4D3B-8977-223053071990}
-84.52406320197808,34.025219093175444,427,-84.525421,34.025152,Gritters Branch Library,17,880 Shaw Park Road, ,Marietta,Georgia,30066,770,528-2524, , ,13067,Library,Cobb,GPS,2015-12-30T00:00:00.000Z, ,{C5FAE8C7-AF31-467B-8405-AA3070E4989D}
-84.310242611736001,33.718211736617718,428,-84.310384,33.717799,Gresham Branch Library,17,2418 Gresham Road, ,Atlanta,Georgia,30316,404,244-4374, , ,13089,Library,DeKalb,GPS,2015-12-30T00:00:00.000Z, ,{C227EC70-1661-4549-B6A5-9A311D6AC7C3}
-84.220810407133683,33.703985868868841,429,-84.220974,33.703815,Wesley Chapel-Wm. C. Brown Memorial,17,2861 Wesley Chapel Road, ,Decatur,Georgia,30034,404,286-6980, , ,13089,Library,DeKalb,GPS,2015-12-30T00:00:00.000Z, ,{FDCC03D9-14C3-4B7F-95AA-67E11A0C172B}
-84.425846059197056,33.98085836142986,430,-84.428169,33.979936,Merchants' Walk Branch Library,17,1315 Johnson Ferry Road, ,Marietta,Georgia,30068,770,509-2730, , ,13067,Library,Cobb,GPS,2015-12-30T00:00:00.000Z, ,{EFBB6C65-5513-47C2-9CD2-081053CBDA98}
-84.178030110414909,33.678419069956547,431,-84.177645,33.678283,Salem-Panola Branch Library,17,5137 Salem Road, ,Lithonia,Georgia,30038,770,987-6900, , ,13089,Library,DeKalb,GPS,2015-12-30T00:00:00.000Z, ,{DD3D9756-2487-48BE-9EA1-638AFF0E676F}
-84.332615466296446,33.944722296220455,432,-84.331825,33.943862,Dunwoody Branch Library,17,5339 Chamblee-Dunwoody Road, ,Dunwoody,Georgia,30338,770,512-4640, , ,13089,Library,DeKalb,GPS,2015-12-30T00:00:00.000Z, ,{B704AD4F-2480-43D7-88A6-ECE361ACCAC8}
-84.31351694763822,33.584511023801866,433,-84.313795,33.585017,Morrow Branch Library,17,6225 Maddox Road, ,Morrow,Georgia,30260,770,366-7749, , ,13063,Library,Clayton,GPS,2015-12-30T00:00:00.000Z, ,{BC389739-3678-4655-9D68-FFFB39BEECF2}
-84.321496574755358,33.751552807344758,434,-84.321685,33.751599,Kirkwood Branch Library,17,"11 Kirkwood Road, NE", ,Atlanta,Georgia,30317,404,377-6471, , ,13089,Library,DeKalb,GPS,2015-12-30T00:00:00.000Z, ,{062A69B6-C7F0-43C0-B07A-B9DB19B7E7E5}
-84.363713817530822,33.781223917131079,435,-84.355355,33.77375,Ponce de Leon Branch Library,17,980 Ponce de Leon, ,Atlanta,Georgia,30306,404,885-7820, , ,13121,Library,Fulton,GPS,2015-12-30T00:00:00.000Z, ,{4687F4D4-A307-4C94-90A3-0A7EAB479115}
-84.457306990952461,33.447089321976158,436,-84.457458,33.445919,Fayette County Public Library,17,1821 Heritage Park Way, ,Fayetteville,Georgia,30214,770,461-8841, , ,13113,Library,Fayette,GPS,2015-12-30T00:00:00.000Z, ,{891199E9-6E16-4A6F-82AB-A560999D272C}
-84.583107242687461,33.398728187965759,437,-84.580964,33.401081,Peachtree City Library,17,201 Willowbend Road, ,Peachtree City,Georgia,30269,770,631-2520, , ,13113,Library,Fayette,GPS,2015-12-30T00:00:00.000Z, ,{74B17B77-7EE4-4EC3-A586-A9EDA4CE58C4}
-84.358143706030631,34.025293711435168,438,-84.357995,34.025236,Roswell Branch Library,17,115 Norcross Street, ,Roswell,Georgia,30075,404,640-3075, , ,13121,Library,Fulton,GPS,2015-12-30T00:00:00.000Z, ,{E89798FD-5019-48C6-B099-9711745C14E1}
